name,price,images
包邮Python3爬虫 数据清洗与可视化实战+Python数据分析入门 从数据获取到可视化,80.80,
Python 网络爬虫实战,46.60,
包邮 Python自然语言处理|8051535,55.30,
Python算法教程+数据结构 Python语言描述 语言编程入门 利用Pytho,105.30,
"数据科学实战手册 R+Python  [美]Tony Ojeda,Sean Patrick",37.20,
Python深度学习 人工智能机器学习入门教程 Python神经网络编程机器学习算法 用Pyt,44.30,
Python 3网络爬虫开发实战,68.00,
包邮 接口自动化测试持续集成+Web接口开发与自动化测试 基于Python语言图书籍 共2册,93.60,
OpenCV 3计算机视觉：Python语言实现（原书第2版）人脸检测与识别 图像检索,43.29,
Python设计模式 第2版 [印度]Chetan Giridhar 吉里德尔 97871,22.62,
父与子的编程之旅 与小卡特一起学Python 中小学生编程 python编程入门教程 Python语,104.00,
包邮人工智能在信用债投资领域的应用 Python语言实践+Python金融衍生品大数据分析书籍,125.60,
包邮玩转Django 2.0+玩转Python网络爬虫书籍 黄永祥2本,99.00,
包邮 跟老齐学Python：Django实战 齐伟 Django开发实战教程书籍,52.60,
包邮  Python云原生+可伸缩架构+DevOps软件架构师行动指南  共3本,166.50,
包邮疯狂Python讲义+你也能看得懂的Python算法书 pytho编程视频教程书籍,129.00,
Effective Python:编写高质量Python代码的59个有效方法,35.40,
Cloudera Hadoop大数据平台实战指南大数据技术书籍 大数据技术 Python Spark,40.00,
R用户Python学习指南：数据科学方法,56.90,
小小的Python编程故事+机器人Python极客编程入门与实战+教孩子学编程 Python语言版,278.00,
零基础学编程：树莓派和Python 湖北新华书店 京东自营店,42.63,
【正版】自动化平台测试开发 Python测试开发实战+软件自动化测试开发书籍,95.80,
Python从入门到项目实践零基础 python编程从入门到实践 精通计算机程序设计pathon核心,48.07,
Selenium自动化测试之道 基于Python和Java语言 Selenium自动化测试,41.50,
【组套2本】正版 小天才学Python 编程基础+教学指导 计算机 少儿编程 程序设计 清华大学出,59.70,
Django企业开发实战 高效Python Web框架指南 博客开发实例教程书籍,72.00,
包邮 Python金融衍生品大数据分析：建模、模拟、校准与对冲  python大数据分析技术教程书籍,65.60,
现货正版全新 2019计算机等考全国计算机等级考试二级教程——Python语言程序设计(2019年,34.90,
包邮 【套装三册】Python程序员面试算法宝典+剑指Offer+数据库程序员面试笔试真题库,145.00,
人邮官方   Python高性能编程 python 编程,59.25,
对比Excel，轻松学习Python数据分析+Python 3爬虫、数据清洗与可视化实战书籍,161.60,
Flask Web开发 基于Python的Web应用开发实战 第2版 [美] 米格尔·格林,40.02,
Python快速编程入门 传智播客 黑马程序员 python编程从入门到实践基础视频教程核心编程爬虫,43.00,
跟老齐学Python:轻松入门 齐伟著 9787121306624,33.63,
正版 剑指Offer 名企面试官精讲典型编程题第2版  java python c 程序员面试宝典,58.00,
【闪电发货】达人迷 PYTHON趣味编程10例  [美]Brendan Scott 编程语,71.86,
"对比Excel,轻松学习Python数据分析",43.70,
基于ArcGIS的Python编程秘笈 第2版 ArcGIS数据处理技术 GIS开发 Pytho,69.00,
Python机器学习基础教程 (德)安德里亚斯·穆勒(Andreas C.Muller)(美)莎拉·,75.21,
【闪电发货】流畅的Python  (巴西)卢西亚诺·拉马略(Luciano Ramalho,111.12,
量化投资：以Python为工具 量化投资分析/金融投资/Python语言处理数据书籍,69.90,
Python渗透测试编程技术 方法与实践 黑客防范技术编程教程 黑客攻防技术黑客攻防入门进阶,46.50,
包邮 Selenium自动化测试之道——基于Python和Java语言 计算机 软件开发,45.80,
OpenCV 3计算机视觉：Python语言实现 原书第二2版 计算机编程书籍,40.70,
我的Python世界,49.30,
Python自然语言处理+Python计算机视觉编程2本,113.00,
正版包邮 Python基础教程(第3版)人民邮电出版社 python入门 零基础学编程,70.40,
2本 Scratch少儿游戏趣味编程+青少年学Python 视频讲解编程语言,105.60,
数据科学导论：Python语言实现（原书第2版）,46.50,
Python数据科学入门 [俄]德米特里·齐诺维耶夫(Dmitry Zinoviev 97,28.42,
21天学通C++ 第8版 Java Python 程序设计书籍 软件开,55.30,
扫码看视频 青少年学Python 儿童编程入门教程书籍  代码基于python3.6核心编程 零基础,75.80,
包邮Python Linux系统管理与自动化运维 Python Linux操作系统编程教程,66.00,
"小小的Python编程故事 毛雪涛,丁毓峰 写给孩子看的Python编程书",48.30,
Python核心编程（第2版）[Core PYTHON Programming],76.00,
